sl no,Name,MRP,Category,Remarks,Franchise Code
1,Abhayarishtam 450ml,79,Arishtam,,0
2,Amrutharishtam 450ml,83,Arishtam,,0
3,Aragwadharishtam 450ml,88,Arishtam,,0
4,Aravindasavam 450ml,88,Arishtam,,0
5,Asokarishtam 450ml,77,Arishtam,,0
6,Aswagandharishtam 450ml,138,Arishtam,,0
7,Ayaskrity 450ml,99,Arishtam,,0
8,Balarishtam 450ml,88,Arishtam,,0
9,Chandanasavam 450ml,77,Arishtam,,0
10,Chitrakasavam 450ml,132,Arishtam,,0
11,Dasamoolarishtam 450ml,105,Arishtam,,0
12,Dhanwantararishtam 450ml,94,Arishtam,,0
13,Draksharishtam 450ml,110,Arishtam,,0
14,Duralabharishtam 450ml,88,Arishtam,,0
15,Jeerakarishtam 450ml,121,Arishtam,,0
16,Kanakasavam 450ml,77,Arishtam,,0
17,Khadirarishtam 450ml,110,Arishtam,,0
18,Kumaryasavam 450ml,94,Arishtam,,0
19,Kutajarishtam 450ml,94,Arishtam,,0
20,Lohasavam 450ml,88,Arishtam,,0
21,Mustarishtam 450ml,88,Arishtam,,0
22,Partharishtam 450ml,99,Arishtam,,0
23,Pippalyasavam 450ml,88,Arishtam,,0
24,Punarnavasam 450ml,80,Arishtam,,0
25,Saraswatarishtam 450ml,248,Arishtam,,0
26,Saribadyasavam 450ml,90,Arishtam,,0
27,Vasarishtam 450ml,116,Arishtam,,0
28,AnuTailam 10ml,60,Tailam,,0
29,Asanaeladi Co. oil 200ml,205,Tailam,,0
30,BalaTailam 25ml,106,Tailam,,0
31,BalaswagandhadiTailam 200ml,202,Tailam,,0
32,Chemparatyadi Co. oil 200ml,136,Tailam,,0
33,ChinchadiTailam (S) 200ml,127,Tailam,,0
34,DhanwantaramTailam 200ml,204,Tailam,,0
35,DhanwantaramKuzhambu 200ml,170,Tailam,,0
36,Dhordhoorapatrati Co. oil 200ml,143,Tailam,,0
37,Eladi Co. oil 200ml,170,Tailam,,0
38,GandhaTailam 10ml,65,Tailam,,0
39,Gandharvahastadi Castor Oil 50ml,63,Tailam,,0
40,KarpasastyadiTailam 200ml,152,Tailam,,0
41,Karpooradi Co. oil 200ml,125,Tailam,,0
42,Kayyanyadi Co. oil 200ml,158,Tailam,,0
43,KottamchukkadiTailam 200ml,138,Tailam,,0
44,KsheerabalaTailam 200ml,166,Tailam,,0
45,KumkumadiTailam 10ml,326,Tailam,,0
46,MahamashaTailam 200ml,284,Tailam,,0
47,MaharajaprasariniTailam 10ml,67,Tailam,,0
48,Malatyadi Co. oil 200ml,139,Tailam,,0
49,Marichadi Co. oil 200ml,120,Tailam,,0
50,Murivenna 200ml,184,Tailam,,0
51,Nalpamaradhi Co. oil 200ml,138,Tailam,,0
52,NarayanaTailam (B) 200ml,208,Tailam,,0
53,SahacharadiTailam(B) 200ml,176,Tailam,,0
54,Neelibhringadi Co. oil 200ml,206,Tailam,,0
55,PindaTailam 200ml,138,Tailam,,0
56,PrabhanjanamKuzhambu 200ml,162,Kuzhambu,,0
57,SahacharadiKuzhambu 200ml,176,Kuzhambu,,0
58,KarpasastyadiKuzhambu 200ml,148,Kuzhambu,,0
59,BalaswagandhadiKuzhambu 200ml,209,Kuzhambu,,0
60,AmrutotaramKashayam 200ml,100,Kashayam Concentrated,,0
61,AragwadhadiKashayam 200ml,113,Kashayam Concentrated,,0
62,AshtavargamKashayam 200ml,113,Kashayam Concentrated,,0
63,BalaguluchyadiKashayam 200ml,111,Kashayam Concentrated,,0
64,BalajeerakadiKashayam 200ml,109,Kashayam Concentrated,,0
65,BruhatyadiKashayam 200ml,133,Kashayam Concentrated,,0
66,ChirivilwadiKashayam 200ml,139,Kashayam Concentrated,,0
67,DasamoolamKashayam 200ml,114,Kashayam Concentrated,,0
68,DasamoolakatutrayamKashayam 200ml,121,Kashayam Concentrated,,0
69,DhanadanayanadiKashayam 200ml,142,Kashayam Concentrated,,0
70,DhanwantaramKashayam 200ml,133,Kashayam Concentrated,,0
71,DrakshadiKashayam 200ml,140,Kashayam Concentrated,,0
72,GandharvahastadiKashayam 200ml,100,Kashayam Concentrated,,0
73,GulgulutiktakamKashayam 200ml,176,Kashayam Concentrated,,0
74,GuluchyadiKashayam 200ml,151,Kashayam Concentrated,,0
75,IndukantamKashayam 200ml,124,Kashayam Concentrated,,0
76,KatakakhadiradiKashayam 200ml,108,Kashayam Concentrated,,0
77,KarimbirubadiKashayam 200ml,101,Kashayam Concentrated,,0
78,KokilakshakamKashayam 200ml,101,Kashayam Concentrated,,0
79,KulathadiKashayam 200ml,137,Kashayam Concentrated,,0
80,LasunairandadiKashayam 200ml,136,Kashayam Concentrated,,0
81,MaharasnadiKashayam 200ml,161,Kashayam Concentrated,,0
82,MahatiktakamKashayam 200ml,179,Kashayam Concentrated,,0
83,ManjishtadiKashayam 200ml,139,Kashayam Concentrated,,0
84,MusaleekhadiradiKashayam 200ml,101,Kashayam Concentrated,,0
85,NayopayamKashayam 200ml,147,Kashayam Concentrated,,0
86,NimbadiKashayam 200ml,107,Kashayam Concentrated,,0
87,PachanamrutamKashayam 200ml,137,Kashayam Concentrated,,0
88,PanchatiktakamKashayam 200ml,163,Kashayam Concentrated,,0
89,PathyakshadhatryadiKashayam 200ml,121,Kashayam Concentrated,,0
90,PatolakaturohinyadiKashayam 200ml,189,Kashayam Concentrated,,0
91,PatolamooladiKashayam 200ml,124,Kashayam Concentrated,,0
92,PrasarinyadiKashayam 200ml,126,Kashayam Concentrated,,0
93,PunarnavadiKashayam 200ml,102,Kashayam Concentrated,,0
94,RasonadiKashayam 200ml,177,Kashayam Concentrated,,0
95,RasanadiKashayam(S) 200ml,170,Kashayam Concentrated,,0
96,Rasanadikashayam(B) 200ml,182,Kashayam Concentrated,,0
97,RasnasaptakamKashayam 200ml,108,Kashayam Concentrated,,0
98,SahacharadiKashayam 200ml,100,Kashayam Concentrated,,0
99,SaptasaramKashayam 200ml,120,Kashayam Concentrated,,0
100,SonitamruthamKashayam 200ml,139,Kashayam Concentrated,,0
101,SukumaramKashayam 200ml,118,Kashayam Concentrated,,0
102,TiktakamKashayam 200ml,142,Kashayam Concentrated,,0
103,TrayantyadiKashayam 200ml,144,Kashayam Concentrated,,0
104,VajrakamKashayam 200ml,131,Kashayam Concentrated,,0
105,VaranadiKashayam 200ml,108,Kashayam Concentrated,,0
106,VasaguluchyadiKashayam 200ml,126,Kashayam Concentrated,,0
107,VidaryadiKashayam 200ml,126,Kashayam Concentrated,,0
108,VyaghryadiKashayam 200ml,113,Kashayam Concentrated,,0
109,AragwadhadiGhritam 200ml,240,Ghritam,,0
110,BrahmiGhritam 200ml,240,Ghritam,,0
111,DadimadiGhritam 200ml,231,Ghritam,,0
112,GulgulutiktakamGhritam 200ml,293,Ghritam,,0
113,IndukantamGhritam 200ml,232,Ghritam,,0
114,MahakalyanakaGhritam 200ml,317,Ghritam,,0
115,MahatiktakaGhritam 200ml,258,Ghritam,,0
116,Phalasarpis 200ml,245,Ghritam,,0
117,SaraswataGhritam 200ml,255,Ghritam,,0
118,SukumaraGhritam 200ml,315,Ghritam,,0
119,TiktakaGhritam 200ml,283,Ghritam,,0
120,VaranadiGhritam 200ml,224,Ghritam,,0
121,VidaryadiGhritam 200ml,240,Ghritam,,0
122,Agastyarasayanam 250gm,120,Lehyam,,0
123,AswagandhadiLehyam 250gm,113,Lehyam,,0
124,Brahmarasayanam 250gm,161,Lehyam,,0
125,Chyavanaprasam 250gm,158,Lehyam,,0
126,Dasamoolahareetaki 250gm,113,Lehyam,,0
127,Dasamoolarasayanam 100gm,109,Lehyam,,0
128,Dasamoolarasayanam(30 Nos of 25Grams) I Jar,945,Lehyam,,0
129,Gulardrakam 250gm,163,Lehyam,,0
130,Kalyanagulam 250gm,143,Lehyam,,0
131,KankayanaLehyam 250gm,163,Lehyam,,0
132,Koosmandarasayanam 250gm,139,Lehyam,,0
133,MadhusnuhiRasayanam(B) 250gm,163,Lehyam,,0
134,ManibhadramLehyam 250gm,152,Lehyam,,0
135,Narasimharasayanam 250gm,195,Lehyam,,0
136,Satavarigulam 250gm,163,Lehyam,,0
137,SukumaramLehyam 250gm,189,Lehyam,,0
138,TaleesapatraVatakam 50gms,37,Lehyam,,0
139,TrivrithLehyam 250gm,230,Lehyam,,0
140,VilwadiLehyam 250gm,120,Lehyam,,0
141,VyoshadiVatakam 50gms,32,Lehyam,,0
142,AshtaChoornam 50gms,60,Choornam,,0
143,AswagandhadiChoornam 50gms,58,Choornam,,0
144,AvipathyChoornam 50gms,45,Choornam,,0
145,Dadimashtakamchoornam 50gms,42,Choornam,,0
146,DasanakantiChoornam 50gms,105,Choornam,,0
147,EladiChoornam 50gms,91,Choornam,,0
148,GokshuraChoornam 50gms,42,Choornam,,0
149,GulgulupanchapalamChoornam 50gms,68,Choornam,,0
150,HinguvachadiChoornam 50gms,50,Choornam,,0
151,JatamayadiChoornam 50gms,74,Choornam,,0
152,KachoradiChoornam 10gms,69,Choornam,,0
153,KarpooradiChoornam(B) 50gms,59,Choornam,,0
154,KarpooradiChoornam(S) 50gms,54,Choornam,,0
155,KolakulathadiChoornam 500gms,205,Choornam,,0
156,KottamchukkadiLepam 50gms,37,Choornam,,0
157,MukhadooshikariLepam 50gms,57,Choornam,,0
158,NalpamaraChoornam 50gms,42,Choornam,,0
159,NimbadiChoornam 50gms,38,Choornam,,0
160,PippaliRasayanam 10gms,57,Choornam,,0
161,PushyanugamChoornam 50gms,60,Choornam,,0
162,RajanyadiChoornam 50gms,51,Choornam,,0
163,RasnadiChoornam 7gms,18,Choornam,,0
164,ShaddharanaChoornam 50gms,83,Choornam,,0
165,TaleesapatradiChoornam 50gms,50,Choornam,,0
166,TriphaladiChoornam 50gms,35,Choornam,,0
167,TriphaladiSpl 50gms,57,Choornam,,0
168,VaiswanaraChoornam 50gms,48,Choornam,,0
169,VilangatanduladiChoornam 50gms,65,Choornam,,0
170,YogarajaChoornam 50gms,68,Choornam,,0
171,ElaneerKuzhambu 10ml,48,Rasakriya,,0
172,AswagandhadiChoornam Tablet 90 Nos,81,Choornam Tablet,,0
173,AswagandhadiChoornam Tablet 1000 Nos,765,Choornam Tablet,,0
174,TaleesapatradiChoornam Tablet 90 Nos,85.5,Choornam Tablet,,0
175,TaleesapatradiChoornam Tablet 1000 Nos,808,Choornam Tablet,,0
176,TriphaladiChoornam Tablet 100 Nos,85,Choornam Tablet,,0
177,TriphaladiChoornam Tablet 1000 Nos,723,Choornam Tablet,,0
178,AmruthaGulgulu 90 Nos,211.5,Gulikas,,0
179,Andhrakutharam(S) 90 Nos,470,Gulikas,,0
180,Chandraprabha 90 Nos,435,Gulikas,,0
181,Chukkumtippalyadi 200 nos,180,Gulikas,,0
182,DhanwantharamGulika 200 Nos,198,Gulikas,,0
183,GokshuradiGulgulu 150 Nos,315,Gulikas,,0
184,Gopichandanadi 200 Nos,157,Gulikas,,0
185,GorochanadiGulika 200 Nos,198,Gulikas,,0
186,HinguvachadiGulika 90 Nos,220.5,Gulikas,,0
187,Jeevaneeyavathi 100 Nos,382.5,Gulikas,,0
188,KaisoraGulgulu 90 Nos,211.5,Gulikas,,0
189,KanchanaraGulgulu 90 Nos,193.5,Gulikas,,0
190,KankayanaVati 90 Nos,229.5,Gulikas,,0
191,KaruthaGulika 10 Nos,238.5,Gulikas,,0
192,KastooryadiGulika 200 Nos,229.5,Gulikas,,0
193,KombanchadiGulika 200 Nos,337.5,Gulikas,,0
194,Krimisodhini 100 Nos,247.5,Gulikas,,0
195,LasunadiVati 90 Nos,330,Gulikas,,0
196,MahadhanwantaramGulika 200 Nos,320,Gulikas,,0
197,MahayogarajaGulgulu 100 Nos,337.5,Gulikas,,0
198,Mandooravatakam 90 Nos,330,Gulikas,,0
199,NiruryadiGulika 90 Nos,945,Gulikas,,0
200,PanchanimbadiGulika 90 Nos,193.5,Gulikas,,0
201,PunarnavaMandooram 90 Nos,440,Gulikas,,0
202,Rajapravartini 90 Nos,229.5,Gulikas,,0
203,Shaddharana Tablet 90 Nos,202.5,Gulikas,,0
204,Sudarsana Tablet 150 Nos,184.5,Gulikas,,0
205,TrayodasasangaGulgulu 90 Nos,50,Gulikas,,0
206,TriphalaGulgulu 90 Nos,510,Gulikas,,0
207,VilwadiGulika 90 Nos,350,Gulikas,,0
208,YogarajaGulgulu 90 Nos,175,Gulikas,,0
209,AmrutaGulgulu -DS 100 Nos,380,Gulikas - DS,,0
210,Chandraprabha – DS 100 Nos,450,Gulikas - DS,,0
211,GokshuradiGulgulu –DS 100 Nos,355,Gulikas - DS,,0
212,HinguvachadiGulika –DS 100 Nos,340,Gulikas - DS,,0
213,KaisoraGulgulu -DS 100 Nos,420,Gulikas - DS,,0
214,KanchanaraGulgulu -DS 100 Nos,370,Gulikas - DS,,0
215,KankayanaVati -DS 100 Nos,310,Gulikas - DS,,0
216,Shaddhrana Tablet -DS 100 Nos,420,Gulikas - DS,,0
217,TrayodasangaGulgulu -DS 100 Nos,400,Gulikas - DS,,0
218,TriphalaGulgulu –DS 100 Nos,390,Gulikas - DS,,0
219,YogarajaGugulu - DS 100 Nos,425,Gulikas - DS,,0
220,AmrutotaramKashayam Tablet 100 Nos,370,Kashayam Tablet,,0
221,AragwadhadiKashayam Tablet 100 Nos,440,Kashayam Tablet,,0
222,AshtavargamKashayam Tablet 100 Nos,380,Kashayam Tablet,,0
223,BalaguluchyadiKashayam Tablet 100 Nos,440,Kashayam Tablet,,0
224,BruhatyadiKashayam Tablet 100 Nos,470,Kashayam Tablet,,0
225,ChirivilwadiKashayam Tablet 100 Nos,470,Kashayam Tablet,,0
226,DasamoolakatutrayamKashayam Tablet 100 Nos,430,Kashayam Tablet,,0
227,DasamoolamKashayam Tablet 100 Nos,430,Kashayam Tablet,,0
228,DhanadanayanadiKashayam Tablet 100 Nos,470,Kashayam Tablet,,0
229,DhanwantaramKashayam Tablet 100 Nos,460,Kashayam Tablet,,0
230,DrakshadiKashayam Tablet 100 Nos,450,Kashayam Tablet,,0
231,GandharvahastadiKashayam Tablet 100 Nos,390,Kashayam Tablet,,0
232,GulgulutiktakamKashayam Tablet 100 Nos,600,Kashayam Tablet,,0
233,GuluchyadiKashayam Tablet 100 Nos,430,Kashayam Tablet,,0
234,IndukantamKashayam Tablet 100 Nos,400,Kashayam Tablet,,0
235,KarimbirubadiKashayam Tablet 100 Nos,380,Kashayam Tablet,,0
236,MaharasnadiKashayam Tablet 100 Nos,560,Kashayam Tablet,,0
237,MahatiktakamKashayam Tablet 100 Nos,575,Kashayam Tablet,,0
238,ManjishtadiKashayam Tablet 100 Nos,470,Kashayam Tablet,,0
239,NimbadiKashayam Tablet 100 Nos,415,Kashayam Tablet,,0
240,PathyakshadatryadiKashayam Tablet 100 Nos,450,Kashayam Tablet,,0
241,PatolakaturohinyadiKashayam Tablet 100 Nos,650,Kashayam Tablet,,0
242,PatolamooladiKashayam Tablet 100 Nos,470,Kashayam Tablet,,0
243,PrasarinyadiKashayam Tablet 100 Nos,380,Kashayam Tablet,,0
244,PunarnavadiKashayam Tablet 100 Nos,360,Kashayam Tablet,,0
245,Rasanadi (S) Kashayam Tablet 100 Nos,575,Kashayam Tablet,,0
246,RasanaspatakamKashayam Tablet 100 Nos,380,Kashayam Tablet,,0
247,SahacharadiKashayam Tablet 100 Nos,380,Kashayam Tablet,,0
248,SaptasaramKashayam Tablet 100 Nos,410,Kashayam Tablet,,0
249,SukumaramKashayam Tablet 100 Nos,420,Kashayam Tablet,,0
250,TiktakamKashayam tablet 100 Nos,515,Kashayam Tablet,,0
251,VaranadiKashayam Tablet 100 Nos,390,Kashayam Tablet,,0
252,VasaguluchyadiKashayam Tablet 100 Nos,525,Kashayam Tablet,,0